Día,Valor,Drawdown,Régimen
620,17805.07,0.00,EXPANSION
621,17945.32,0.00,EXPANSION
622,18078.21,0.00,EXPANSION
623,18009.00,-0.38,EXPANSION
624,17960.92,-0.65,EXPANSION
625,17794.60,-1.57,EXPANSION
626,17921.86,-0.86,EXPANSION
627,18025.33,-0.29,EXPANSION
628,17927.34,-0.83,EXPANSION
629,18023.01,-0.31,EXPANSION
630,18203.00,0.00,EXPANSION
631,18359.97,0.00,EXPANSION
632,18384.47,0.00,EXPANSION
633,18381.26,-0.02,EXPANSION
634,18527.70,0.00,EXPANSION
635,18667.16,0.00,EXPANSION
636,18597.08,-0.38,EXPANSION
637,18731.01,0.00,EXPANSION
638,18549.12,-0.97,EXPANSION
639,18649.96,-0.43,EXPANSION
640,18658.11,-0.39,EXPANSION
641,18365.29,-1.95,EXPANSION
642,18512.01,-1.17,EXPANSION
643,18272.88,-2.45,EXPANSION
644,18142.57,-3.14,EXPANSION
645,18174.99,-2.97,EXPANSION
646,18297.76,-2.31,EXPANSION
647,18205.92,-2.80,EXPANSION
648,18363.05,-1.96,EXPANSION
649,18345.87,-2.06,EXPANSION
650,18373.81,-1.91,EXPANSION
651,18411.31,-1.71,EXPANSION
652,18567.61,-0.87,EXPANSION
653,18453.47,-1.48,EXPANSION
654,18436.55,-1.57,EXPANSION
655,18349.60,-2.04,EXPANSION
656,18216.93,-2.74,EXPANSION
657,18381.18,-1.87,EXPANSION
658,18142.47,-3.14,EXPANSION
659,18111.92,-3.31,EXPANSION
660,18070.05,-3.53,EXPANSION
661,18136.19,-3.18,EXPANSION
662,18151.88,-3.09,EXPANSION
663,18184.84,-2.92,EXPANSION
664,18277.64,-2.42,EXPANSION
665,18163.34,-3.03,EXPANSION
666,18152.40,-3.09,EXPANSION
667,18199.44,-2.84,EXPANSION
668,18153.05,-3.09,EXPANSION
669,18114.33,-3.29,EXPANSION
670,18119.14,-3.27,EXPANSION
671,18331.87,-2.13,EXPANSION
672,18318.96,-2.20,EXPANSION
673,18343.51,-2.07,EXPANSION
674,18104.90,-3.34,EXPANSION
675,18027.42,-3.76,EXPANSION
676,18423.96,-1.64,EXPANSION
677,18570.96,-0.85,EXPANSION
678,18642.54,-0.47,EXPANSION
679,19205.05,0.00,EXPANSION
680,19053.00,-0.79,EXPANSION
681,19178.97,-0.14,EXPANSION
682,19111.56,-0.49,EXPANSION
683,19127.43,-0.40,EXPANSION
684,18971.40,-1.22,EXPANSION
685,18994.77,-1.09,EXPANSION
686,19049.54,-0.81,EXPANSION
687,19158.29,-0.24,EXPANSION
688,19088.53,-0.61,EXPANSION
689,19115.19,-0.47,EXPANSION
690,19196.79,-0.04,EXPANSION
691,19114.05,-0.47,EXPANSION
692,19075.12,-0.68,EXPANSION
693,19103.94,-0.53,EXPANSION
694,19188.25,-0.09,EXPANSION
695,19481.02,0.00,EXPANSION
696,19452.14,-0.15,EXPANSION
697,19640.74,0.00,EXPANSION
698,19640.49,-0.00,EXPANSION
699,19557.36,-0.42,EXPANSION
700,19275.47,-1.86,EXPANSION
701,19532.53,-0.55,EXPANSION
702,19687.54,0.00,EXPANSION
703,19805.81,0.00,EXPANSION
704,20097.74,0.00,EXPANSION
705,19990.24,-0.53,EXPANSION
706,20201.38,0.00,EXPANSION
707,19958.29,-1.20,EXPANSION
708,19879.05,-1.60,EXPANSION
709,19898.61,-1.50,EXPANSION
710,19836.34,-1.81,EXPANSION
711,19793.39,-2.02,EXPANSION
712,19979.91,-1.10,EXPANSION
713,20011.27,-0.94,EXPANSION
714,20127.26,-0.37,EXPANSION
715,20177.33,-0.12,EXPANSION
716,20166.36,-0.17,EXPANSION
717,20183.84,-0.09,EXPANSION
718,20225.96,0.00,EXPANSION
719,20370.18,0.00,EXPANSION
720,20460.39,0.00,EXPANSION
721,20701.97,0.00,EXPANSION
722,20864.46,0.00,EXPANSION
723,20699.11,-0.79,EXPANSION
724,20701.46,-0.78,EXPANSION
725,20507.67,-1.71,EXPANSION
726,20456.54,-1.96,EXPANSION
727,20630.60,-1.12,EXPANSION
728,20725.07,-0.67,EXPANSION
729,20426.48,-2.10,EXPANSION
730,20424.87,-2.11,EXPANSION
731,20363.19,-2.40,EXPANSION
732,20528.54,-1.61,EXPANSION
733,20565.55,-1.43,EXPANSION
734,20386.99,-2.29,EXPANSION
735,19915.76,-4.55,EXPANSION
736,20366.46,-2.39,EXPANSION
737,20357.82,-2.43,EXPANSION
738,20328.51,-2.57,EXPANSION
