Día,Valor,Drawdown,Régimen
608,13814.93,0.00,EXPANSION
609,13910.53,0.00,EXPANSION
610,13831.32,-0.57,EXPANSION
611,13912.21,0.00,EXPANSION
612,13916.06,0.00,EXPANSION
613,13907.99,-0.06,EXPANSION
614,13943.63,0.00,EXPANSION
615,13851.44,-0.66,EXPANSION
616,13890.43,-0.38,EXPANSION
617,14108.61,0.00,EXPANSION
618,14194.69,0.00,EXPANSION
619,14157.64,-0.26,EXPANSION
620,14329.80,0.00,EXPANSION
621,14442.59,0.00,EXPANSION
622,14526.03,0.00,EXPANSION
623,14443.50,-0.57,EXPANSION
624,14411.21,-0.79,EXPANSION
625,14277.44,-1.71,EXPANSION
626,14379.79,-1.01,EXPANSION
627,14463.01,-0.43,EXPANSION
628,14374.74,-1.04,EXPANSION
629,14444.26,-0.56,EXPANSION
630,14397.91,-0.88,EXPANSION
631,14504.75,-0.15,EXPANSION
632,14524.27,-0.01,EXPANSION
633,14521.72,-0.03,EXPANSION
634,14635.32,0.00,EXPANSION
635,14752.73,0.00,EXPANSION
636,14698.00,-0.37,EXPANSION
637,14815.24,0.00,EXPANSION
638,14689.92,-0.85,EXPANSION
639,14770.49,-0.30,EXPANSION
640,14777.00,-0.26,EXPANSION
641,14544.62,-1.83,EXPANSION
642,14652.97,-1.10,EXPANSION
643,14460.80,-2.39,EXPANSION
644,14352.33,-3.12,EXPANSION
645,14377.72,-2.95,EXPANSION
646,14475.71,-2.29,EXPANSION
647,14402.41,-2.79,EXPANSION
648,14498.13,-2.14,EXPANSION
649,14494.75,-2.16,EXPANSION
650,14507.57,-2.08,EXPANSION
651,14544.70,-1.83,EXPANSION
652,14687.89,-0.86,EXPANSION
653,14596.80,-1.47,EXPANSION
654,14583.29,-1.57,EXPANSION
655,14527.95,-1.94,EXPANSION
656,14438.56,-2.54,EXPANSION
657,14549.45,-1.79,EXPANSION
658,14389.23,-2.88,EXPANSION
659,14361.59,-3.06,EXPANSION
660,14328.09,-3.29,EXPANSION
661,14381.00,-2.93,EXPANSION
662,14405.74,-2.76,EXPANSION
663,14432.13,-2.59,EXPANSION
664,14505.73,-2.09,EXPANSION
665,14430.15,-2.60,EXPANSION
666,14397.90,-2.82,EXPANSION
667,14435.54,-2.56,EXPANSION
668,14398.42,-2.81,EXPANSION
669,14368.67,-3.01,EXPANSION
670,14377.44,-2.96,EXPANSION
671,14524.58,-1.96,EXPANSION
672,14515.22,-2.03,EXPANSION
673,14524.88,-1.96,EXPANSION
674,14334.26,-3.25,EXPANSION
675,14272.37,-3.66,EXPANSION
676,14610.71,-1.38,EXPANSION
677,14718.57,-0.65,EXPANSION
678,14780.89,-0.23,EXPANSION
679,15220.98,0.00,EXPANSION
680,15090.32,-0.86,EXPANSION
681,15190.98,-0.20,EXPANSION
682,15137.11,-0.55,EXPANSION
683,15146.46,-0.49,EXPANSION
684,15028.02,-1.27,EXPANSION
685,15043.60,-1.17,EXPANSION
686,15091.82,-0.85,EXPANSION
687,15198.98,-0.14,EXPANSION
688,15143.14,-0.51,EXPANSION
689,15164.48,-0.37,EXPANSION
690,15234.84,0.00,EXPANSION
691,15163.28,-0.47,EXPANSION
692,15120.36,-0.75,EXPANSION
693,14963.73,-1.78,EXPANSION
694,15025.24,-1.38,EXPANSION
695,15256.79,0.00,EXPANSION
696,15233.94,-0.15,EXPANSION
697,15372.12,0.00,EXPANSION
698,15374.39,0.00,EXPANSION
699,15310.93,-0.41,EXPANSION
700,15112.98,-1.70,EXPANSION
701,15318.10,-0.37,EXPANSION
702,15440.88,0.00,EXPANSION
703,15534.56,0.00,EXPANSION
704,15739.74,0.00,EXPANSION
705,15649.62,-0.57,EXPANSION
706,15816.42,0.00,EXPANSION
707,15667.31,-0.94,EXPANSION
708,15610.38,-1.30,EXPANSION
709,15625.90,-1.20,EXPANSION
710,15576.51,-1.52,EXPANSION
711,15534.63,-1.78,EXPANSION
712,15651.62,-1.04,EXPANSION
713,15684.19,-0.84,EXPANSION
714,15781.19,-0.22,EXPANSION
715,15816.55,0.00,EXPANSION
716,15807.87,-0.05,EXPANSION
717,15821.71,0.00,EXPANSION
718,15855.03,0.00,EXPANSION
719,15973.90,0.00,EXPANSION
720,16027.84,0.00,EXPANSION
721,16214.39,0.00,EXPANSION
722,16342.59,0.00,EXPANSION
723,16211.79,-0.80,EXPANSION
724,16213.64,-0.79,EXPANSION
725,16060.34,-1.73,EXPANSION
726,16035.42,-1.88,EXPANSION
727,16167.15,-1.07,EXPANSION
728,16237.56,-0.64,EXPANSION
729,15997.07,-2.11,EXPANSION
730,15995.80,-2.12,EXPANSION
731,15947.01,-2.42,EXPANSION
732,16051.53,-1.78,EXPANSION
733,16078.13,-1.62,EXPANSION
734,15942.03,-2.45,EXPANSION
735,15569.78,-4.73,EXPANSION
736,15918.04,-2.60,EXPANSION
