ticker,sector,action,entry_price,stop_loss,take_profit,rr_ratio,shares,size_eur,risk_eur,weight_pct,score,quintile,confidence,z_score,viable,remaining_cash_after,notes
DOV,,AVOID,217.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,1,LOW,0.74,,,SHORT/SKIP | z=0.7
BRK-B,,AVOID,488.6801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,1,LOW,0.73,,,SHORT/SKIP | z=0.7
SPGI,,AVOID,420.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1,LOW,0.73,,,SHORT/SKIP | z=0.7
DE,,AVOID,585.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,1,LOW,0.72,,,SHORT/SKIP | z=0.7
VICI,,AVOID,27.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,1,LOW,0.72,,,SHORT/SKIP | z=0.7
MET,,AVOID,84.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,1,LOW,0.72,,,SHORT/SKIP | z=0.7
PNC,,AVOID,228.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,1,LOW,0.71,,,SHORT/SKIP | z=0.7
ACGL,,AVOID,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,1,LOW,0.71,,,SHORT/SKIP | z=0.7
DBC,,AVOID,29.5098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,1,LOW,0.7,,,SHORT/SKIP | z=0.7
TKO,,AVOID,205.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,1,LOW,0.69,,,SHORT/SKIP | z=0.7
KVUE,,AVOID,17.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1,LOW,0.69,,,SHORT/SKIP | z=0.7
LH,,AVOID,264.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,1,LOW,0.68,,,SHORT/SKIP | z=0.7
FE,,AVOID,45.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,1,LOW,0.68,,,SHORT/SKIP | z=0.7
DLR,,AVOID,185.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,1,LOW,0.68,,,SHORT/SKIP | z=0.7
RSG,,AVOID,208.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,1,LOW,0.67,,,SHORT/SKIP | z=0.7
PLTR,,AVOID,136.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,1,LOW,0.67,,,SHORT/SKIP | z=0.7
V,,AVOID,319.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,1,LOW,0.66,,,SHORT/SKIP | z=0.7
WMB,,AVOID,72.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,1,LOW,0.66,,,SHORT/SKIP | z=0.7
AMGN,,AVOID,347.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,1,LOW,0.65,,,SHORT/SKIP | z=0.7
SYY,,AVOID,76.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,1,LOW,0.65,,,SHORT/SKIP | z=0.7
AMAT,,AVOID,484.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,1,LOW,0.65,,,SHORT/SKIP | z=0.7
FAST,,AVOID,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,1,LOW,0.64,,,SHORT/SKIP | z=0.6
BG,,AVOID,127.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,1,LOW,0.63,,,SHORT/SKIP | z=0.6
WBD,,AVOID,26.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,1,LOW,0.62,,,SHORT/SKIP | z=0.6
XLV,,AVOID,153.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,1,LOW,0.62,,,SHORT/SKIP | z=0.6
EXC,,AVOID,45.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,1,LOW,0.62,,,SHORT/SKIP | z=0.6
ALGN,,AVOID,168.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1,LOW,0.62,,,SHORT/SKIP | z=0.6
