ticker,entry_date,exit_date,entry_price,exit_price,return_pct,pnl_eur,reason
MPWR,2020-11-05,2020-11-10,328.95,297.72,-9.64,-96.43,OB_Inv
MPWR,2021-01-20,2021-01-27,381.47,338.56,-11.40,-113.98,OB_Inv
MPWR,2021-01-29,2021-03-04,362.54,315.67,-13.08,-130.79,OB_Inv
MPWR,2021-06-18,2021-06-28,340.14,360.59,5.86,58.64,TP
MPWR,2021-07-07,2021-07-08,374.00,356.13,-4.93,-49.28,SL
MPWR,2021-07-09,2021-07-12,361.15,371.34,2.67,26.71,TP
MPWR,2021-07-20,2021-07-20,369.66,378.95,2.36,23.63,TP
MPWR,2021-07-21,2021-07-28,379.11,407.38,7.31,73.06,TP
MPWR,2021-07-29,2021-10-01,414.52,462.68,11.47,114.69,SL
MPWR,2021-11-01,2021-11-15,509.86,546.15,6.97,69.68,TP
MPWR,2021-11-30,2021-11-30,543.80,525.10,-3.59,-35.89,SL
MPWR,2021-12-03,2021-12-03,540.69,524.99,-3.05,-30.52,SL
MPWR,2022-07-28,2022-08-02,439.63,488.99,11.08,110.77,TP
MPWR,2023-02-08,2023-02-09,448.69,461.38,2.68,26.78,TP
MPWR,2023-02-15,2023-02-21,503.43,470.07,-6.78,-67.76,OB_Inv
MPWR,2023-07-25,2023-07-26,527.78,509.40,-3.63,-36.32,SL
MPWR,2023-08-02,2023-08-03,527.65,508.83,-3.72,-37.17,SL
MPWR,2023-08-04,2023-08-04,515.59,508.89,-1.45,-14.50,SL
MPWR,2023-08-07,2023-08-09,531.48,510.24,-4.15,-41.46,OB_Inv
MPWR,2024-02-15,2024-02-15,735.91,713.21,-3.23,-32.34,SL
MPWR,2024-03-08,2024-03-11,757.35,706.97,-6.80,-68.02,OB_Inv
MPWR,2024-05-16,2024-06-12,727.18,805.46,10.62,106.15,TP
MPWR,2024-07-15,2024-07-17,849.73,806.27,-5.26,-52.65,OB_Inv
MPWR,2024-07-23,2024-07-24,828.51,777.17,-6.35,-63.47,OB_Inv
MPWR,2024-09-11,2024-10-31,839.65,831.55,-1.11,-11.15,SL
MPWR,2024-11-05,2024-11-08,759.73,740.77,-2.65,-26.45,SL
MPWR,2025-01-29,2025-02-07,609.35,666.64,9.25,92.51,TP
MPWR,2025-03-03,2025-03-03,613.02,590.17,-3.88,-38.76,SL
MPWR,2025-07-02,2025-07-02,739.05,764.31,3.27,32.68,TP
MPWR,2025-08-04,2025-10-06,787.12,956.18,21.33,213.29,TP
MPWR,2025-10-14,2025-10-27,963.98,1101.21,14.09,140.86,TP
MRVL,2020-01-17,2020-01-27,27.72,25.17,-9.38,-93.78,OB_Inv
MRVL,2020-04-17,2020-05-26,25.68,30.06,16.89,168.87,TP
MRVL,2020-08-18,2020-08-19,33.21,32.35,-2.74,-27.39,OB_Inv
MRVL,2020-10-16,2020-10-19,42.66,40.95,-4.16,-41.64,OB_Inv
MRVL,2021-01-08,2021-02-05,48.87,48.61,-0.70,-7.00,SL
MRVL,2021-06-11,2021-06-17,50.66,53.67,5.79,57.89,TP
MRVL,2021-08-13,2021-08-17,58.74,56.70,-3.62,-36.22,SL
MRVL,2021-08-18,2021-08-18,57.07,57.82,1.15,11.49,TP
MRVL,2021-08-20,2021-08-23,57.77,59.92,3.56,35.61,TP
MRVL,2021-11-09,2021-11-10,72.47,69.75,-3.91,-39.06,OB_Inv
MRVL,2021-11-30,2021-11-30,73.55,71.16,-3.41,-34.05,SL
MRVL,2021-12-07,2021-12-16,85.95,81.57,-5.25,-52.52,SL
MRVL,2021-12-21,2022-01-06,85.15,81.58,-4.34,-43.40,SL
MRVL,2022-01-07,2022-01-07,84.06,81.63,-3.04,-30.35,SL
MRVL,2022-04-14,2022-04-21,62.62,59.01,-5.90,-59.04,OB_Inv
MRVL,2022-07-28,2022-08-03,52.74,56.41,6.82,68.21,TP
MRVL,2022-08-11,2022-08-22,55.00,50.20,-8.88,-88.78,OB_Inv
MRVL,2022-12-01,2022-12-02,46.50,41.35,-11.23,-112.29,SL
MRVL,2022-12-05,2022-12-06,43.51,40.55,-6.95,-69.54,OB_Inv
MRVL,2023-06-02,2023-06-05,61.60,57.45,-6.88,-68.84,OB_Inv
MRVL,2023-07-14,2023-07-24,63.92,61.99,-3.17,-31.73,SL
MRVL,2023-07-27,2023-08-02,64.76,61.55,-5.11,-51.08,OB_Inv
MRVL,2024-01-05,2024-01-05,58.15,59.62,2.37,23.74,TP
MRVL,2024-01-08,2024-01-08,59.59,63.99,7.24,72.38,TP
MRVL,2024-01-12,2024-01-22,65.42,70.90,8.23,82.27,TP
MRVL,2024-03-08,2024-03-08,80.40,80.28,-0.29,-2.94,SL
MRVL,2024-05-31,2024-05-31,75.83,74.88,-1.41,-14.09,SL
MRVL,2024-10-17,2024-11-08,83.77,94.11,12.20,121.96,TP
MRVL,2025-01-24,2025-01-27,126.20,99.95,-20.95,-209.50,OB_Inv
MRVL,2025-06-09,2025-06-26,69.28,78.91,13.75,137.50,TP
MRVL,2025-07-11,2025-07-16,72.43,70.13,-3.33,-33.31,SL
MRVL,2025-07-17,2025-07-17,70.97,70.13,-1.32,-13.24,SL
MRVL,2025-07-18,2025-07-28,72.21,76.40,5.65,56.45,TP
MRVL,2025-08-22,2025-08-22,71.21,73.38,2.90,28.98,TP
MRVL,2025-08-25,2025-08-29,72.85,62.75,-14.01,-140.15,OB_Inv
MRVL,2025-11-24,2025-11-26,78.39,88.45,12.67,126.74,TP
MS,2020-05-19,2020-05-27,33.34,36.59,9.61,96.09,TP
MS,2020-06-05,2020-06-11,42.65,37.05,-13.27,-132.69,OB_Inv
MS,2020-07-17,2020-07-22,43.88,42.40,-3.52,-35.23,OB_Inv
MS,2020-10-13,2020-10-28,42.79,39.82,-7.09,-70.94,OB_Inv
MS,2021-01-06,2021-01-27,60.22,59.64,-1.11,-11.12,SL
MS,2021-03-30,2021-04-21,66.68,64.85,-2.90,-28.95,SL
MS,2021-04-22,2021-04-29,66.90,70.93,5.88,58.85,TP
MS,2021-07-16,2021-07-16,79.29,78.42,-1.26,-12.56,SL
MS,2021-07-21,2021-08-10,79.37,86.66,9.03,90.35,TP
MS,2022-10-04,2022-10-11,72.77,68.16,-6.48,-64.76,OB_Inv
MS,2022-12-01,2022-12-05,83.18,80.27,-3.64,-36.42,OB_Inv
MS,2023-01-23,2023-01-24,85.69,83.83,-2.32,-23.20,SL
MS,2023-01-26,2023-02-02,86.00,90.34,4.89,48.91,TP
MS,2023-06-07,2023-06-23,78.20,75.96,-3.02,-30.20,OB_Inv
MS,2023-07-19,2023-08-08,83.09,80.91,-2.78,-27.76,SL
MS,2023-08-09,2023-08-18,81.15,77.86,-4.20,-41.97,OB_Inv
MS,2023-12-11,2023-12-14,76.48,82.43,7.63,76.33,TP
MS,2024-03-21,2024-04-11,86.22,81.42,-5.72,-57.18,OB_Inv
MS,2024-07-16,2024-07-16,98.53,98.19,-0.49,-4.92,SL
MS,2024-07-17,2024-07-19,99.44,96.60,-3.00,-30.05,OB_Inv
MS,2024-10-21,2024-10-21,114.92,113.66,-1.24,-12.43,SL
MS,2025-01-24,2025-01-24,131.32,133.11,1.21,12.12,TP
MS,2025-01-28,2025-01-28,130.93,131.97,0.64,6.39,TP
MS,2025-01-29,2025-02-03,133.24,130.42,-2.27,-22.72,SL
MS,2025-02-04,2025-02-20,133.41,130.13,-2.61,-26.11,OB_Inv
MS,2025-06-24,2025-07-02,132.48,139.06,4.81,48.14,TP
MS,2025-08-21,2025-08-27,141.00,147.57,4.51,45.08,TP
MS,2025-09-10,2025-09-23,150.33,160.64,6.71,67.07,TP
MU,2020-01-22,2020-01-24,58.05,55.86,-3.91,-39.14,SL
